generator,judge,estimate,ci_low,ci_high
ChatGPT,ChatGPT,0.0895833333333311,-0.21469045707848092,0.39385712374514315
ChatGPT,DeepSeek,0.5172089094014558,0.3143287700014733,0.7200890488014383
ChatGPT,Gemini,0.8937499999999975,0.7300089295314528,1.057491070468542
ChatGPT,Qwen,0.1769015065101166,-0.08673325145784816,0.44053626447808136
DeepSeek,ChatGPT,-0.09375000000000067,-0.4353514693462584,0.24785146934625707
DeepSeek,DeepSeek,0.05416666666666703,-0.2056589769919901,0.31399231032532415
DeepSeek,Gemini,0.555733246880547,0.24353084520970902,0.867935648551385
DeepSeek,Qwen,0.3994224776633328,0.12081203942950958,0.678032915897156
Gemini,ChatGPT,-0.15833333333333388,-0.46423583927135803,0.14756917260469027
Gemini,DeepSeek,-0.13908796409379684,-0.4121810101493615,0.13400508196176777
Gemini,Gemini,0.7979166666666665,0.6159333247553278,0.9799000085780052
Gemini,Qwen,0.08901991741832402,-0.18417891379245868,0.36221874862910675
Qwen,ChatGPT,0.095833333333331,-0.25374930920878563,0.4454159758754476
Qwen,DeepSeek,0.079166666666669,-0.21887314210837233,0.3772064754417103
Qwen,Gemini,0.49950712005075587,0.23910122923109706,0.7599130108704146
Qwen,Qwen,0.081255340817678,-0.224875196631049,0.38738587826640497
